Author,Title,ISBN,Location,Owner
Laura Doan (Editor),The Lesbian Postmodern,231084102,Storage,Box #36
Nisa Donnelly,The Bar Stories,312037953,Storage,Box #28
Nisa Donnelly,The Love Songs of Phoenix Bay,312113919,Storage,Box #28
Monica Dorenkamp (Editor); Richard Henke (Editor),Negotiating Lesbian & Gay Subjects,415908329,Storage,Box #40
Carol Anne Douglas,To the Cleveland Station,930044274,Storage,Box #28
Lauren Wright Douglas,The Always Anonymous Beast,941483045,Storage,Box #28
Lauren Wright Douglas,The Daughters of Artemis,941483959,Storage,Box #28
Lauren Wright Douglas,Goblin Market,1562800477,Storage,Box #28
Lauren Wright Douglas,In the Blood,941483223,Storage,Box #28
Lauren Wright Douglas,Ninth Life,941483509,Storage,Box #28
Lauren Wright Douglas,A Rage of Maidens,156280068X,Storage,Box #28
Lauren Wright Douglas,A Tiger’s Heart,1562800183,Storage,Box #28
K. J. Dover,Greek Homosexuality,394742249,Storage,Box #41
Coleman Dowell,The Houses of Children,1555840434,Storage,Box #21
Coleman Dowell; Edmund White (Foreword); Linda K (Introduction); John R. Kuehl,A Star-Bright Lie,1564780228,Storage,Box #42
Christine Downing,Myths and Mysteries of Same Sex Love,826405266,Storage,Box #41
Sarah Dreher,A Captive in Time,934678227,Storage,Box #28
Sarah Dreher,Gray Magic,934678111,Storage,Box #28
Sarah Dreher,Otherworld,934678448,Storage,Box #28
Sarah Dreher,Something Shady,934678073,Storage,Box #28
Sarah Dreher,Stoner Mctavish,934678065,Storage,Box #28
Libby Drew,Great Restorations,1615816224,Storage,Box #04
Joan M. Drury,The Other Side of Silence,933216920,Storage,Box #28
Martin Bauml Duberman,About Time,914017136,Storage,Box #41
Linnea Due,Joining the Tribe,385475004,Storage,Box #37
Linnea A. Due,High and Outside,933216580,Storage,Box #28
Larry Duplechan,Blackbird,312083408,Storage,Box #04
Larry Duplechan,Captain Swing,1555832342,Storage,Box #04
Larry Duplechan,Eight Days a Week,932870848,Storage,Box #04
Larry Duplechan,Tangled Up in Blue,312051670,Storage,Box #04
William K. Eakins,"Key West, 2720 A.D.",915175339,Storage,Box #25
B.A. Ecker,Independence Day,380829908,Storage,Box #04
Nicky Edwards,Stealing Time,906500311,Storage,Box #28
Jane Eiseman,"Home Again, Home Again",093441131X,Storage,Box #28
Jeffrey M. Elliot (Editor),Kindred Spirits,932870422,Storage,Box #25
Pat Emmerson,Raging Mother Mountain,941483355,Storage,Box #28
Catherine Ennis,Chautauqua,1562800329,Storage,Box #28
Catherine Ennis,Clearwater,941483657,Storage,Box #28
Catherine Ennis,South of the Line,941483290,Storage,Box #28
Catherine Ennis,To the Lightning,941483061,Storage,Box #28
Catherine Ennis,"Up, Up and Away",1562800655,Storage,Box #28
Erastes,Standish,9781933720098,Storage,Box #04
Margaret Erhart,Unusual Company (Plume),452264421,Storage,Box #28
Kevin Esser,Mad to Be Saved,914017055,Storage,Box #04
Kevin Esser,Streetboy Dreams,933322089,Storage,Box #18
Carmen C. Esteves (Editor); Lizabeth Paravisini-Gebert (Editor),Green Cane and Juicy Flotsam,813517370,Storage,Box #21
Rupert Everett,"Hello Darling, Are You Working?",038072152X,Storage,Box #04
Exander,Leathersex,1563332108,Storage,Box #18
Max Exander,Lovesex,932870899,Storage,Box #18
Max Exander,Safe Stud,932870880,Storage,Box #18
Max Exander; Richard White,Mansex,917342054,Storage,Box #18
Lillian Faderman (Editor),Chloe Plus Olivia,670846384,Storage,Box #16
Lillian Faderman,Scotch Verdict,231084439,Storage,Box #28
Lillian Faderman (Editor); Brigitte Eriksson (Editor),Lesbians in Germany,941483622,Storage,Box #41
Beverley Farmer,Alone,140077995,Storage,Box #28
Dorothy J. Farnan,Auden in Love,671504185,Storage,Box #39
Robert Farrar,State of Independence,854491945,Storage,Box #04
David B. Feinberg,Eighty-Sixed (Contemporary Amer Fiction),140112529,Storage,Box #04
David B. Feinberg,Spontaneous Combustion,140148620,Storage,Box #04
Jyl Lynn Felman,Hot Chicken Wings,1879960214,Storage,Box #28
Tony Fennelly,The Closet Hanging,881843938,Storage,Box #04
Tony Fennelly,Glory Hole Murders,085140698X,Storage,Box #04
Marianne Ferrari,Inn Places 2001,942586719,Storage,Box #38
Robert Ferro,The Blue Star,525243216,Storage,Box #04
Robert Ferro,The Family of Max Desir,452255872,Storage,Box #04
Robert Ferro,Second Son,517568152,Storage,Box #04
Peter Fisher,The Gay Mystique,812816463,Storage,Box #37
Peter Fisher; Marc Rubin,Special Teachers/Special Boys,312751516,Storage,Box #04
Fannie Flagg,Daisy Fay and the Miracle Man,446394521,Storage,Box #22
Kathleen Fleming,Lovers in the Present Afternoon,930044460,Storage,Box #28
Lee Fleming,By Word of Mouth,921881061,Storage,Box #28
Lee Fleming (Editor),Tide Lines,921881150,Storage,Box #28
Gregory Flood,"I'm Looking for Mr. Right, But I'll Settle for Mr. Right Away",938407023,Storage,Box #40
Caroline Forbes,The Needle on Full,906500192,Storage,Box #25
Edith Forbes,Alma Rose,1878067338,Storage,Box #28
Katherine V. Forrest,Dreams and Swords,941483037,Storage,Box #28
Katherine V. Forrest,Murder by Tradition,941483894,Storage,Box #28
Katherine V. Forrest (Editor); Barbara Grier (Editor),The Erotic Naiad,1562800264,Storage,Box #18
Katherine V. Forrest (Editor); Barbara Grier (Editor),The Mysterious Naiad,1562800744,Storage,Box #28
Katherine V. Forrest (Editor); Barbara Grier (Editor),The Romantic Naiad,156280054X,Storage,Box #28
E. M. Forster,The Life to Come,393304426,Storage,Box #04
E. M. Forster,Maurice,393086577,Storage,Box #04
E.M. Forster,Room with a View,None,Storage,Box #22
Marion Foster,Legal Tender,1563410117,Storage,Box #28
Marion Foster,The Monarchs Are Flying,932379346,Storage,Box #28
John Fox,The Boys on the Rock,312104332,Storage,Box #04
Patrick Franklin,The Uncertainty of Strangers and Other Stories,912516917,Storage,Box #04
Marcia Freedman,Exile in the Promised Land,093237977X,Storage,Box #42
Caressa French,Hog Heaven,895946602,Storage,Box #18
Aaron Walter Fricke,Sudden Strangers,312058691,Storage,Box #42
Nancy Friday,Women on Top,671648446,Storage,Box #35
Richard Friedel,Movie Lover,932870430,Storage,Box #04
Sanford Friedman,Totempole,865471401,Storage,Box #04
Jack Fritscher,Corporal in Charge of Taking Care of Captain O’malley and Other Stories,917342453,Storage,Box #18
Jack Fritscher,Leather Blues,917342496,Storage,Box #18
Jack Fritscher,Some Dance to Remember,915175401,Storage,Box #04
Jack Fritscher,Stand by Your Man,943595037,Storage,Box #18
Ellen Frye,Amazon Story Bones,188352301X,Storage,Box #28
Ellen Frye,Look Under the Hawthorn,093467812X,Storage,Box #28
Ellen Frye,The Other Sappho,932379699,Storage,Box #28
Jonathan Fryer,Isherwood,385126085,Storage,Box #39
Roy Fuller; Jeremy Lewis (Introduction),The Ruined Boys,701206918,Storage,Box #04
Jennifer Fulton,Passion Bay,1562800280,Storage,Box #28
Jennifer Fulton,Saving Grace,1562800515,Storage,Box #28
Jennifer Fulton,True Love,1562800353,Storage,Box #28
Jason Fury,Eric's Body,1563331519,Storage,Box #18
Jane Futcher,Crush,1555831397,Storage,Box #28
Peter Gadol,Coyote,517575493,Storage,Box #22
Simon Gage,Out Around New York,184157161X,Storage,Box #38
Patrick Gale,The Aerodynamics of Pork,349113998,Storage,Box #28
Patrick Gale,Kansas in August,525246304,Storage,Box #05
Patrick Gale,Little Bits of Baby,586090606,Storage,Box #05
Ellen Galford,The Fires of Bride,932379427,Storage,Box #28
Erzsébet Galgóczi; Translated by Ines Rieder; Felice Newman,Another Love,939416522,Storage,Box #28
Catherine Gallagher (Editor); Thomas Laqueur (Editor),The Making of the Modern Body,520059603,Storage,Box #41
Paul Galle,Be Discreet,915175045,Storage,Box #05
David Galloway (Editor); Christian Sabisch (Editor),Calamus,068800797X,Storage,Box #16
Sue Gambill,Heartscape,941483339,Storage,Box #28
Philip Gambone,The Language We Use Up Here,525933115,Storage,Box #05
Lewis Gannett,The Living One,452271347,Storage,Box #05
Garbo,Rusty,NONE,Storage,Box #28
Kristen Garrett,You Light the Fire,962893854,Storage,Box #29
Grady Garrison,Cummin' Out,,Storage,Box #18
Henry Louis GatesJr (Editor),"Reading Black, Reading Feminist",452010454,Storage,Box #16
Gina M. Gatta,Damron 2005 Men's Travel Guide,929435508,Storage,Box #38
Gina M. Gatta,Damron 2010 Men's Travel Guide (Damron Men's Travel Guide),9780929435794,Storage,Box #38
Gina M. Gatta,Damron Accommodations (11th Ed.),929435656,Storage,Box #38
Gina M. Gatta,Damron City Guide,929435745,Storage,Box #38
Gina M. Gatta,DAMRON ROAD ATLAS 8TH ED.- P,929435346,Storage,Box #38
Gay; Left Collective,"Homosexuality, Power & Politics",850313740,Storage,Box #37
Marilyn Gayle,Free Ride,1563410044,Storage,Box #29
Jean Genet,Querelle,394178386,Storage,Box #05
Jean Genet (Author); Bernard Frechtman (Translator),Miracle of the Rose,,Storage,Box #05
Jean Genet; Jean Paul Sarte (Introduction),Our Lady of the Flowers ,,Storage,Box #05
Jean Genet (Author); Edmund White (Introduction),Prisoner of Love,819562742,Storage,Box #05
Doris Gercke; Anna Hamilton (Translator),How Many Miles to Babylon,1879679027,Storage,Box #29
David Gere,How to Make Dances in an Epidemic,299200809,Storage,Box #40
Daniel Gibson,Well Hung-Up,,Storage,Box #18
Andre Gide,The Immoralist,55305571125,Storage,Box #05
Andre Gide (Author); Wade Baskin (Translator),Urien's Voyage,,Storage,Box #22
Andre Gide (Author); Dorothy Bussy (Translator); Justin O’brien,The Counterfeiters; with Journal of the Counterfeiters,394718429,Storage,Box #05
Barry Gifford,Francis Goes to the Seashore,312303580,Storage,Box #05
Barry Gifford,Landscape with Traveler,30606047,Storage,Box #05
Barry Gifford,Night People,802115381,Storage,Box #29
John Gilgun,Music I Never Dreamed of,927200023,Storage,Box #05
Sharon Gilligan (Author),Danger in High Places,962893870,Storage,Box #29
Sharon Gilligan,Danger!-- Cross Currents,1883061016,Storage,Box #29
Sharon Gilligan,Faces of Love,962893846,Storage,Box #29
Charlotte Perkins Gilman; Elaine R. Hedges (Afterword),The Yellow Wallpaper,912670096,Storage,Box #29
Vince Gilman; Charles Hovland,The Slave Prince,1563331993,Storage,Box #18
Gingerlox,Berrigan,930044096,Storage,Box #29
E.X. Giroux,A Death for Adonis,345328892,Storage,Box #05
Nancy Tyler Glenn,Clicking Stones,941483312,Storage,Box #29
Stormy Glenn,A Promise Given,9781603709255,Storage,Box #05
Stormy Glenn,A Promise Kept,9781603708180,Storage,Box #05
Gary Glickman,Years From Now,452261422,Storage,Box #05
Robert Gluck,Jack the Modernist,091401711x,Storage,Box #05
Robert Gluck,Margery Kempe (High Risk Books),185242334X,Storage,Box #05
Ben Goldstein (Editor),More Like Minds,854491694,Storage,Box #05
Michael J. Goldstein; Harold S. Kant; John  J. Hartman,Pornography and Sexual Deviance;,520024060,Storage,Box #37
Alma Gomez (Editor); Cherrie Moraga (Editor); Mariana Romo-Carmona (Editor),Cuentos,913175013,Storage,Box #22
Jewelle Gomez,The Gilda Stories,932379958,Storage,Box #29
Gerre Goodman; Malcolm Boyd (Foreword); George Lakey; Judy Lashof; Erika Thorne,No Turning Back,865710198,Storage,Box #37
Billi Gordon; Taylor-Anne Wentworth,Oil & Gasoline,1555831915,Storage,Box #22
Chris Gosselin; Glenn Wilson,Sexual Variations,671246240,Storage,Box #35
Allan Gould (Editor),What Did They Say About Gays?,155022235X,Storage,Box #40
William Goyen,Arcadio,517550539,Storage,Box #05
Camarin Grae,Edgewise,941483193,Storage,Box #29
Camarin Grae,Paz,913017027,Storage,Box #29
Camarin Grae,The Secret in the Bird,941483053,Storage,Box #29
Camarin Grae,Slick,941483746,Storage,Box #29
Camarin Grae,Soul Snatcher,941483231,Storage,Box #29
Camarin Grae (Author),Stranded,941483991,Storage,Box #29
Camarin Grae,Wednesday Nights,1562800604,Storage,Box #29
Camarin Grae,The Winged Dancer,913017019,Storage,Box #29
Clayton R. Graham,A Man of Taste,915175010,Storage,Box #05
Clayton R. Graham,Walkin’ Matilda,915175088,Storage,Box #05
Judy Grahn,Mundane’s World,895943166,Storage,Box #29
Robert Granit (Author),Another Runner in the Night,451134028,Storage,Box #38
Cat Grant,Double Concerto,9781602727625,Storage,Box #05
Cat Grant,Once a Marine,9781937551247,Storage,Box #05
George Green,The Caveman’s Valentine,446517224,Storage,Box #22
Jesse Green,O Beautiful,345374703,Storage,Box #22
Harlan Greene,What the Dead Remember,525933786,Storage,Box #05
Harlan Greene,Why We Never Danced the Charleston,140082182,Storage,Box #05
Jay Greene,Nino,,Storage,Box #18
Andrew Grey,Accompanied by a Waltz,9781615817979,Storage,Box #05
Andrew Grey,"Artistic Appeal (Art, Book 2)",9781613721278,Storage,Box #05
Andrew Grey,"Artistic Pursuits (Art, Book 3)",9781613723678,Storage,Box #05
Andrew Grey,"The Best Revenge (Bottled, Book 2)",9781935192688,Storage,Box #05
Andrew Grey,"Bottled Up (Bottled, Book 3)",9781615810192,Storage,Box #05
Andrew Grey,"A Foreign Range (Range, Book 4)",9781613725504,Storage,Box #05
Andrew Grey,"Legal Artistry (Art, Book 1)",9781613721131,Storage,Box #05
Andrew Grey,"Legal Tender (Art, Book 4)",9781613724378,Storage,Box #05
Andrew Grey,"Love Means... Freedom (Love, Book 4)",1615815171,Storage,Box #05
Andrew Grey,"Love Means... No Boundaries (Love, Book 3)",1615813896,Storage,Box #05
Andrew Grey,"Love Means... No Fear (Love, Book 5)",1615817093,Storage,Box #05
Andrew Grey,"A Shared Range (Range, Book 1)",9781615815944,Storage,Box #05
Andrew Grey,"Troubled Range (Range, Book 2)",9781615818297,Storage,Box #05
Andrew Grey,"Uncorked (Bottled, Book 4)",9781615812974,Storage,Box #05
Andrew Grey,"Unexpected Vintage (Bottled, Book 5)",9781615814039,Storage,Box #05
Andrew Grey,"Work Me Out (Gym, Book 7)",9781615819287,Storage,Box #18
Dorien Grey,His Name is John,9781934841044,Storage,Box #05
Leslie Grey,Corners of the Heart,962893838,Storage,Box #29
Aarona Griffin,Passage And Other Stories,1563330571,Storage,Box #18
Nicola Griffith,Ammonite,345378911,Storage,Box #25
David E Griffon,Asstrucker,B0006RTN3W,Storage,Box #18
Doris Grumbach,Chamber Music,393309452,Storage,Box #29
Doris Grumbach,The Ladies,393310922,Storage,Box #29
Michael Grumley; Edmund White (Foreword); George Stambolian (Afterword),Life Drawing,802114385,Storage,Box #05
Julian Anthony Guerra,Men at Work,,Storage,Box #18
Hervé Guibert,To the Friend Who Did Not Save My Life,1852423285,Storage,Box #22
Ursula K. Le Guin,The Left Hand of Darkness,,Storage,Box #25
Allan Gurganus,White People,039458841X,Storage,Box #05
Rosa Guy,Friends,553205951,Storage,Box #29
H.D,Hermione,9780811208178,Storage,Box #29
Lisa Haddock,Edited Out,1562800779,Storage,Box #29
Keith Hale,Cody,1555831052,Storage,Box #06
Keith Hale,Cody,1555836011,Storage,Box #22
Desmond Hall,I Give You Oscar Wilde,None,Storage,Box #39
Radclyffe Hall,The Unlit Lamp,803791712,Storage,Box #29
Radclyffe Hall; Alison Hennegan (Introduction),A Saturday Life,140161937,Storage,Box #29
Richard Hall,The Butterscotch Prince,932870295,Storage,Box #06
Richard Hall,Couplings,912516577,Storage,Box #06
Richard Hall,Family Fictions,140147969,Storage,Box #22
Richard Hall,Fidelities,670837857,Storage,Box #06
Richard Hall,Letter From a Great-Uncle & Other Stories,912516887,Storage,Box #06
Sandi Hall,Wingwomen of Hera,933216262,Storage,Box #25
Paul Hallasy,New York Trilogy,962713503,Storage,Box #06
David M. Halperin,One Hundred Years of Homosexuality,415900964,Storage,Box #41
Dean Hamer; Peter Copeland,The Science of Desire,671887246,Storage,Box #37
Mark Hamilton,My Brother's Image.,038082230x,Storage,Box #06
Wallace Hamilton,Coming Out,451147774,Storage,Box #06
Wallace Hamilton,David at Olivet,312183666,Storage,Box #06
Wallace Hamilton,Kevin,,Storage,Box #06
Bob Hancock,Trucker's Stud Sailor,,Storage,Box #18
Gillian E. Hanscombe,Between Friends,932870228,Storage,Box #29
Joseph Hansen,Backtrack,085449054X,Storage,Box #06
Joseph Hansen,Bohannon’s Country,670849421,Storage,Box #06
Joseph Hansen,The Boy Who Was Buried This Morning,452266173,Storage,Box #06
Joseph Hansen,Brandstetter and Other Stories,140077383,Storage,Box #06
Joseph Hansen,A Country of Old Men,670838268,Storage,Box #06
Joseph Hansen,Death Claims,60117516,Storage,Box #06
Joseph Hansen,Early Graves,892962496,Storage,Box #06
Joseph Hansen,Gravedigger,805001964,Storage,Box #06
Joseph Hansen,Job's Year (Plume),452261171,Storage,Box #06
Joseph Hansen,The Little Dog Laughed,805000836,Storage,Box #06
Joseph Hansen,Living Upstairs,452269253,Storage,Box #06
Joseph Hansen,The Man Everybody Was Afraid of,30423767,Storage,Box #06
Joseph Hansen,Nightwork,805010556,Storage,Box #06
Joseph Hansen,Obedience (Dave Brandstetter Mystery),445408448,Storage,Box #06
Joseph Hansen,Pretty Boy Dead,917342488,Storage,Box #06
Joseph Hansen,Skinflick,805001972,Storage,Box #06
Joseph Hansen,A Smile in His Lifetime,452256755,Storage,Box #06
Joseph Hansen,Steps Going Down,881500542,Storage,Box #06
Joseph Hansen,Troublemaker,30574870,Storage,Box #06
Renee Hansen,Take Me to The Underground,895944251,Storage,Box #29
Paul D. Hardman,Homoaffectionalism,1879194139,Storage,Box #41
J.E. Hardy (Editor),Perfect Pitch,906500419,Storage,Box #29
James Earl Hardy,B-Boy Blues,1555832687,Storage,Box #06
Tom Hardy,Cock Stealers,,Storage,Box #18
Roger Harman,First Person,1563331799,Storage,Box #18
E. Lynn Harris,Invisible Life,385469683,Storage,Box #22
Frank Harris,Oscar Wilde,,Storage,Box #39
Jeane Harris,Black Iris,941483681,Storage,Box #29
Jeane Harris,Delia Ironfoot,1562800140,Storage,Box #29
Don Harrison,The Alexandrian Drachma,915175002,Storage,Box #06
Don Harrison,The Spartan,932870201,Storage,Box #06
William Harrison,Burton and Speke,312108737,Storage,Box #06
Ellen Hart,Hallowed Murder,931188830,Storage,Box #29
Ellen Hart,Stage Fright,1878067214,Storage,Box #29
Jack Hart,My Biggest O,1555832415,Storage,Box #35
Jack Hart; Bradley M. Look (Illustrator),Gay Sex,1555831702,Storage,Box #35
Lynda Hart,Fatal Women,069103379X,Storage,Box #35
Melissa Hartman,The Sure Thing,1562800787,Storage,Box #29
Andrew Harvey,Burning Houses,395404266,Storage,Box #06
Ebba Haslund (Author); Barbara Wilson (Translator),Nothing Happened,931188474,Storage,Box #29
March Hastings,Three Women,941483436,Storage,Box #29
G.A. Hauser,Calling Doctor Love,9781448610570,Storage,Box #18
G.A. Hauser,Giving Up the Ghost,9781449593070,Storage,Box #06
G.A. Hauser,Going Deep,9781607351450,Storage,Box #18
G.A. Hauser,The Hard Way,9781456545239,Storage,Box #06
G.A. Hauser,The Kiss,9781449593049,Storage,Box #18
G.A. Hauser,Murphy's Hero,9781449593124,Storage,Box #18
G.A. Hauser,Robbie 1: Naked Dragon,9781449593087,Storage,Box #06
G.A. Hauser,Robbie 2: It Takes a Man,9781450536172,Storage,Box #06
G.A. Hauser,Teacher's Pet 1: Teacher's Pet,9781594269400,Storage,Box #18
G.A. Hauser,Teacher's Pet 3: Midnight in London,9781470014360,Storage,Box #18
G.A. Hauser,To Have and to Hostage,9781449592943,Storage,Box #06
G.A. Hauser,The Wedding Planner,9781451589849,Storage,Box #18
G.A. Hauser; Jeff P. Olson,Mr. Right,9781461020189,Storage,Box #06
Penny Hayes,Grassy Flats,1562800108,Storage,Box #29
Penny Hayes,Kathleen O’donald,1562800701,Storage,Box #29
Penny Hayes,The Long Trail,930044762,Storage,Box #29
Penny Hayes,Montana Feathers,941483614,Storage,Box #29
Penny Hayes; Katherine V. Forrest (Editor),Yellowthroat,094148310X,Storage,Box #29
Julia Heiman; Joseph  Ph.D. Lopiccolo; David Palladini,Becoming Orgasmic,671761773,Storage,Box #35
Lillian Hellman,Maybe,316355127,Storage,Box #22
Aart Hendriks (Editor); Rob Tielman (Editor); Evert van Der Veen (Editor),The Third Pink Book,879758317,Storage,Box #37
James Leo Herlihy,Midnight Cowboy,,Storage,Box #06
Bob Herron,Moritz!,930762061,Storage,Box #06
Hilda Hidalgo; Travis L. Peterson,Lesbian and Gay Issues,871011271,Storage,Box #37
Patricia Highsmith,The Boy Who Followed Ripley,067974567X,Storage,Box #22
Patricia Highsmith,Ripley Under Ground,679742301,Storage,Box #22
Patricia Highsmith,Ripley Under Water,679748091,Storage,Box #22
Patricia Highsmith,Ripley’s Game,679745688,Storage,Box #06
Patricia Highsmith,The Talented Mr. Ripley,679742298,Storage,Box #22
Patricia Highsmith; Claire Morgan (Writing As),The Price of Salt,1562800035,Storage,Box #29
Jamake Highwater,Kill Hole,080211475X,Storage,Box #06
Jeriann Hilderley,Mari,934678235,Storage,Box #29
Jackman Hill,Forty-Dollar Buttboy,9781935509486,Storage,Box #18
Alex Hirst,Almost One,907040691,Storage,Box #07
Molly Hite,Breach of Immunity,312104340,Storage,Box #29
Laura Hobson,Consenting Adult,446300683,Storage,Box #07
Guy Hocquenghem,Homosexual Desire,850312078,Storage,Box #37
Guy Hocquenghem; Michael Whisler (Translator); George Stambolian (Preface),Love in Relief (L’amour En Relief),933322259,Storage,Box #07
Helynn Hoffa,Golden Shores,1882587014,Storage,Box #29
Isabelle Holland,The Man Without a Face,64470288,Storage,Box #22
Andrew Holleran,Nights in Aruba,688016731,Storage,Box #07
Don Holliday,Gothic Gaye,,Storage,Box #07
Alan Hollinghurst,The Swimming-Pool Library,679722564,Storage,Box #07
B.L. Holmes,Mega,941300188,Storage,Box #29
A.M. Homes,Jack,679732217,Storage,Box #07
Phyllis Horn,The Chesapeake Project,941483584,Storage,Box #29
Phyllis Horn,Lodestar,941483835,Storage,Box #29
Tom Horner,Jonathan Loved David,664241859,Storage,Box #41
Gene Horowitz,Privates,312647166,Storage,Box #07
Larry Howard,Joe & the Show Queen,915175304,Storage,Box #07
Larry Howard,The Lions’ Den,932870813,Storage,Box #07
Pai Hsien-Yung; Xianyong Bai,Crystal Boys,940567113,Storage,Box #07
Barrie Hughes,The Martini-Henry Modification,393088405,Storage,Box #07
Chris Hunt,Mignon,854490663,Storage,Box #07
Chris Hunt,Street Lavender,854490353,Storage,Box #07
Drew Hunt,Rough Road to Happiness,9781453760680,Storage,Box #07
Drew Hunt,Something About Trevor,9781453681022,Storage,Box #07
Drew Hunt,Surface Tension,9781453848784,Storage,Box #07
Sammy Jo Hunt,A Wicked Encounter,9781461099901,Storage,Box #18
John Francis Hunter,The Gay Insider USA,None,Storage,Box #40
M. S. Hunter,The Buccaneer,1555831532,Storage,Box #07
Bo Huston,The Dream Life,312097883,Storage,Box #07
Margaret O. Hyde; Elizabeth H. Forsyth,Know About Gays and Lesbians,1562942980,Storage,Box #37
Gary Indiana,Gone Tomorrow (High Risk Books),1852423366,Storage,Box #07
Gary Indiana,Horse Crazy,802111106,Storage,Box #07
Timothy Ireland,Who Lies Inside?,907040306,Storage,Box #07
Christopher Isherwood,Down There on a Visit,380018837,Storage,Box #07
Christopher Isherwood,A Meeting by the River.,380379457,Storage,Box #07
Christopher Isherwood,Memorial,380018144,Storage,Box #07
Christopher Isherwood,Mr Norris Changes Trains,,Storage,Box #07
Christopher Isherwood,Prater Violet,380018365,Storage,Box #07
Christopher Isherwood,The World in the Evening,,Storage,Box #07
Cap Iversen,Arson!,1555831974,Storage,Box #07
Cap Iversen,Silver Saddles,155583213X,Storage,Box #07
Charles Jackson (Author),The Fall of Valor,877958343,Storage,Box #07
Master Jackson,Sir! More Sir!,943595398,Storage,Box #18
Warren Jameson,Cheeks of Tan ,,Storage,Box #18
Josh Jango,Try Anything Twice,9780983452669,Storage,Box #19
Samuel S. Janus; Cynthia L. Janus,The Janus Report on Sexual Behavior,471525405,Storage,Box #35
Karla Jay; Allen Young,The Gay Report,671400134,Storage,Box #37
H. Paul Jeffers,A Portrait in Murder and Gay Colors,915175096,Storage,Box #07
Nicholas Jenkins (Editor),By with to & From,374187657,Storage,Box #16
Kevin Jennings (Editor),Becoming Visible,1555832547,Storage,Box #41
Newt Jennings,Bangin' Brothers,,Storage,Box #19
H.H. Johanna,Romancing the Dream,962893803,Storage,Box #29
Anthony Godby Johnson; Paul Monette (Foreword); Jack L. Godby (Introduction); Afterword by Fred Rogers,A Rock and a Hard Place,051759501X,Storage,Box #42
Barbara Johnson,Stonehurst,1562800248,Storage,Box #29
Denis Johnson,Resuscitation of a Hanged Man,140165223,Storage,Box #22
Fenton Johnson,"Scissors, Paper, Rock",671795422,Storage,Box #07
Greg Johnson,Pagan Babies,452271320,Storage,Box #22
Sonia Johnson,Wildfire,1877617008,Storage,Box #37
Steve Johnson,False Confessions,451403835,Storage,Box #07
Steve Johnson,Final Atonement,451403320,Storage,Box #22
Toby Johnson,Getting Life in Perspective,938743171,Storage,Box #07
Toby Johnson,Plague,1555831257,Storage,Box #07
Toby Johnson,Secret Matter,938743139,Storage,Box #25
Gordon Johnston,Which Way Out of the Men’s Room?,498024091,Storage,Box #37
Jill Johnston,Gullibles Travels,825630258,Storage,Box #29
Mary J. Jones,Avalon,941483967,Storage,Box #29
Simmons Jones,Show Me the Way to Go Home,031209387X,Storage,Box #07
Jennifer L. Jordan,Existing Solutions,963407511,Storage,Box #30
Neil Jordan,A Neil Jordan Reader,679748342,Storage,Box #22
Alexis Jude,Dog Tags,934678502,Storage,Box #30
Patricia Beattie Jung; Ralph F. Smith,Heterosexism,079141695X,Storage,Box #35
Charles Jurrist (Editor),Shadows of Love,1555831362,Storage,Box #07
Ada P. Kahn; Linda Hughey Holt,The A-To-Z of Women’s Sexuality,897930959,Storage,Box #35
Karin Kallmaker,Car Pool,1562800485,Storage,Box #30
Karin Kallmaker (Author),Painted Moon,1931513538,Storage,Box #30
Karin Kallmaker,Paperback Romance,1562800191,Storage,Box #30
Karin Kallmaker,Touchwood,941483762,Storage,Box #30
Lynn Kanter,On Lill Street,1879427079,Storage,Box #30
Arnie Kantrowitz,Under the Rainbow,688031919,Storage,Box #42
Arno Karlen,Sexuality and Homosexuality;,393010872,Storage,Box #35
Herant A. Katchadourian; Donald T. Lunde,Fundamentals of Human Sexuality,30141362,Storage,Box #35
Judith Katz,Running Fiercely Toward a High Thin Sound,1563410206,Storage,Box #30
Melanie Kaye/Kantrowitz,My Jewish Face & Other Stories,933216726,Storage,Box #22
Mel Keegan,Death’s Head,854491627,Storage,Box #07
Mel Keegan,Equinox,854492003,Storage,Box #25
Joe Keenan,Blue Heaven,140107649,Storage,Box #07
Joe Keenan,Putting on the Ritz,670838772,Storage,Box #07
Pam Keesey (Editor),Daughters of Darkness,939416786,Storage,Box #25
Monika Kehoe (Editor),"Historical, Literary, and Erotic Aspects of Lesbianism",918393213,Storage,Box #37
Chuck Kelly,Supercock,087067482x,Storage,Box #19
Kiernan Kelly,Riding Heartbreak Road,9781934166253,Storage,Box #07
Kiernan Kelly; Syd Mcginley; Carol Lynne,Hard for the Money,9781603709002,Storage,Box #19
Randall Kenan,A Visitation of Spirits,802111181,Storage,Box #08
Evelyn Kennedy,Cherished Love,941483088,Storage,Box #30
Evelyn Kennedy,Of Love and Glory,941483320,Storage,Box #30
Evelyn Kennedy,To Love Again,941483851,Storage,Box #30
Claire Kensington,Elise (Adela Honeycutt Chronicles),933216793,Storage,Box #30
Drew Kent,Days in the Sun,934411018,Storage,Box #08
Girard Kent,The Boy Harlequin and Other Stories,917342305,Storage,Box #08
Nial Kent,The Divided Path,,Storage,Box #08
V. B. Kildaire,The Desire for Dearborne,9781615810093,Storage,Box #08
Kevin Killian,Bedrooms Have Windows,927200015,Storage,Box #08
Kevin Killian,Shy,895943484,Storage,Box #08
